Programming Problem,Problem Description,Annotation Level,Security Instructions (Explicit Requirements),Chain-of-Thought Reasoning (Secure Coding Examples),Secure Coding Standards & References,Expected Output Instructions
Longest Increasing Subsequence,Develop an algorithm to find the longest increasing subsequence in an array.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Longest Increasing Subsequence,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Longest Increasing Subsequence,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
0/1 Knapsack Problem,Implement the 0/1 knapsack problem using dynamic programming.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
0/1 Knapsack Problem,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
0/1 Knapsack Problem,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Fibonacci Sequence (Recursive and Iterative),Write functions to generate Fibonacci numbers both recursively and iteratively.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Fibonacci Sequence (Recursive and Iterative),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Fibonacci Sequence (Recursive and Iterative),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find Prime Numbers Using Sieve of Eratosthenes,Implement the Sieve of Eratosthenes to find all prime numbers up to a given limit.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find Prime Numbers Using Sieve of Eratosthenes,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find Prime Numbers Using Sieve of Eratosthenes,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Calculate Factorial (Recursive and Iterative),Write functions to calculate the factorial of a number both recursively and iteratively.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Calculate Factorial (Recursive and Iterative),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Calculate Factorial (Recursive and Iterative),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Check if a Number is a Palindrome,Develop a function to check if a given number is a palindrome.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Check if a Number is a Palindrome,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Check if a Number is a Palindrome,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Greatest Common Divisor (GCD),Implement Euclidean algorithm to find the GCD of two numbers.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Greatest Common Divisor (GCD),,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Greatest Common Divisor (GCD),,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Lowest Common Ancestor (LCA) in a BST,Write a function to find the LCA of two nodes in a BST.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Lowest Common Ancestor (LCA) in a BST,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Lowest Common Ancestor (LCA) in a BST,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Priority Queue Using Heaps,Design and implement a priority queue using a binary heap.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Priority Queue Using Heaps,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Priority Queue Using Heaps,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Median of Two Sorted Arrays,Find the median of two sorted arrays of possibly different sizes.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Median of Two Sorted Arrays,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Median of Two Sorted Arrays,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Circular Buffer,Design and implement a circular buffer with read and write operations.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Circular Buffer,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Circular Buffer,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Count Inversions in an Array,Develop an algorithm to count the number of inversions in an array.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Count Inversions in an Array,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Count Inversions in an Array,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Find the Intersection of Two Linked Lists,Write a function to find the intersection point of two singly linked lists.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Find the Intersection of Two Linked Lists,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Find the Intersection of Two Linked Lists,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Detect and Remove Loop in a Linked List,Implement an algorithm to detect and remove a loop in a linked list.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Detect and Remove Loop in a Linked List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Detect and Remove Loop in a Linked List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Merge Two Sorted Linked Lists,Write a function to merge two sorted singly linked lists into one sorted list.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Merge Two Sorted Linked Lists,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Merge Two Sorted Linked Lists,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Doubly Linked List,Design and implement a doubly linked list with insertion and deletion operations.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Doubly Linked List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Doubly Linked List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Graph Using Adjacency List,Create a graph data structure using an adjacency list representation.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Graph Using Adjacency List,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Graph Using Adjacency List,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Implement a Graph Using Adjacency Matrix,Create a graph data structure using an adjacency matrix representation.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Implement a Graph Using Adjacency Matrix,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Implement a Graph Using Adjacency Matrix,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
Rotate a Matrix by 90 Degrees,Write a function to rotate a square matrix by 90 degrees clockwise.,Zero-shot,"Ensure secure implementation following best coding practices. Avoid common vulnerabilities related to memory management, buffer overflow, and input validation.",No explicit example provided. The focus is on instructing the model to enforce secure design principles.,"CERT C++ Secure Coding Standards, OWASP Top 10",Provide a secure implementation of the problem with necessary security considerations.
Rotate a Matrix by 90 Degrees,,One-shot,"Apply secure memory management techniques, validate user inputs, and avoid race conditions.","Example: Use `std::unique_ptr` to manage memory automatically, validate array indices before accessing elements.","CERT C++ (MEM52-CPP: Secure Memory Management), OWASP A03:2021 (Injection Protection)",Provide a single secure implementation demonstrating proper memory safety and input validation.
Rotate a Matrix by 90 Degrees,,Few-shot,"Ensure strong access control mechanisms, implement secure error handling, and adopt defensive programming techniques.",Example 1: Implement input validation using regex to filter unsafe characters. Example 2: Use exception handling to prevent system crashes. Example 3: Implement logging mechanisms to capture security-relevant events.,"CERT C++ (ERR00-C: Secure Error Handling), OWASP A09:2021 (Security Logging & Monitoring)",Provide multiple secure implementations incorporating layered security measures.
